Hide:23 | AP: 5 | Rate:0.3564686285397002
Hide:24 | AP: 5 | Rate:0.4292059966685175
Hide:23 | AP: 6 | Rate:0.4480843975569128
Hide:24 | AP: 6 | Rate:0.5186007773459189
Hide:23 | AP: 7 | Rate:0.5402554136590783
Hide:24 | AP: 7 | Rate:0.5235980011104941
Hide:23 | AP: 8 | Rate:0.6157690172126596
Hide:24 | AP: 8 | Rate:0.6507495835646863
Hide:23 | AP: 9 | Rate:0.7201554691837868
Hide:24 | AP: 9 | Rate:0.7357023875624653
Hide:23 | AP:10 | Rate:0.7440310938367574
Hide:24 | AP:10 | Rate:0.7973348139922265
Hide:23 | AP:11 | Rate:0.8256524153248196
Hide:24 | AP:11 | Rate:0.7812326485285952
Hide:23 | AP:12 | Rate:0.8789561354802887
Hide:24 | AP:12 | Rate:0.8656302054414214
Hide:23 | AP:13 | Rate:0.8650749583564686
Hide:24 | AP:13 | Rate:0.8539700166574126
Hide:23 | AP:14 | Rate:0.9161576901721266
Hide:24 | AP:14 | Rate:0.9194891726818434
Hide:23 | AP:15 | Rate:0.9355913381454747
Hide:24 | AP:15 | Rate:0.9194891726818434
Hide:23 | AP:16 | Rate:0.9372570794003331
Hide:24 | AP:16 | Rate:0.9489172681843421
Hide:23 | AP:17 | Rate:0.94058856191005
Hide:24 | AP:17 | Rate:0.9461410327595781
Hide:23 | AP:18 | Rate:0.9722376457523598
Hide:24 | AP:18 | Rate:0.9672404219877846
Hide:23 | AP:19 | Rate:0.9933370349805664
Hide:24 | AP:19 | Rate:0.9766796224319823
Hide:23 | AP:20 | Rate:0.9800111049416991
Hide:24 | AP:20 | Rate:0.9800111049416991
Hide:23 | AP:21 | Rate:0.9850083287062743
Hide:24 | AP:21 | Rate:0.9850083287062743
Hide:23 | AP:22 | Rate:0.9850083287062743
Hide:24 | AP:22 | Rate:0.9850083287062743
Hide:23 | AP:23 | Rate:0.9850083287062743
Hide:24 | AP:23 | Rate:0.9850083287062743
Hide:23 | AP:24 | Rate:0.9850083287062743
Hide:24 | AP:24 | Rate:0.9850083287062743
Hide:23 | AP:25 | Rate:0.9844530816213215
Hide:24 | AP:25 | Rate:0.9850083287062743
